county,office,candidate,party,votes
Izard,State Auditor,Michael Joseph Bolzenius,Green,596
Izard,State Treasurer,Martha Shoffner,Democratic,2564
Izard,State Treasurer,Chris Morris,Republican,1319
Izard,State Treasurer,Brock Carpenter,Green,186
Jackson,Attorney General,Dustin McDaniel,Democratic,3546
Jackson,Attorney General,Gunner DeLay,Republican,790
Jackson,Attorney General,Rebekah Kennedy,Green,158
Jackson,Governor,Mike Beebe,Democratic,3189
Jackson,Governor,Asa Hutchinson,Republican,1036
Jackson,Governor,Rod Bryan,Independent,209
Jackson,Governor,Jim Lendall,Green,116
Jackson,Governor,Michael Jones,Write-In,0
Jackson,Governor,Gene Mason,Write-In,0
Jackson,Land Commissioner,Mark Wilcox,Democratic,3787
Jackson,Land Commissioner,Robert David Lewis,Green,440
Jackson,Lieutenant Governor,Bill Halter,Democratic,3249
Jackson,Lieutenant Governor,Jim Holt,Republican,1231
Jackson,Secretary of State,Charlie Daniels,Democratic,3517
Jackson,Secretary of State,Jim Lagrone,Republican,849
Jackson,Secretary of State,"Ralph ""Marty"" Scully",Green,106
Jackson,State Auditor,Auditor of State Jim Wood,Democratic,4059
Jackson,State Auditor,Michael Joseph Bolzenius,Green,358
Jackson,State Treasurer,Martha Shoffner,Democratic,3818
Jackson,State Treasurer,Chris Morris,Republican,700
Jackson,State Treasurer,Brock Carpenter,Green,0
Jefferson,Attorney General,Dustin McDaniel,Democratic,15205
Jefferson,Attorney General,Gunner DeLay,Republican,4034
Jefferson,Attorney General,Rebekah Kennedy,Green,625
Jefferson,Governor,Mike Beebe,Democratic,14659
Jefferson,Governor,Asa Hutchinson,Republican,4955
Jefferson,Governor,Jim Lendall,Green,311
Jefferson,Governor,Rod Bryan,Independent,306
Jefferson,Governor,Michael Jones,Write-In,0
Jefferson,Governor,Gene Mason,Write-In,0
Jefferson,Land Commissioner,Mark Wilcox,Democratic,17281
Jefferson,Land Commissioner,Robert David Lewis,Green,1600
Jefferson,Lieutenant Governor,Bill Halter,Democratic,14676
Jefferson,Lieutenant Governor,Jim Holt,Republican,5349
Jefferson,Secretary of State,Charlie Daniels,Democratic,15487
Jefferson,Secretary of State,Jim Lagrone,Republican,4003
Jefferson,Secretary of State,"Ralph ""Marty"" Scully",Green,364
Jefferson,State Auditor,Auditor of State Jim Wood,Democratic,17026
Jefferson,State Auditor,Michael Joseph Bolzenius,Green,1913
Jefferson,State Treasurer,Martha Shoffner,Democratic,15297
Jefferson,State Treasurer,Chris Morris,Republican,3980
Jefferson,State Treasurer,Brock Carpenter,Green,457
Johnson,Attorney General,Dustin McDaniel,Democratic,3518
Johnson,Attorney General,Gunner DeLay,Republican,2287
Johnson,Attorney General,Rebekah Kennedy,Green,268
Johnson,Governor,Mike Beebe,Democratic,3372
Johnson,Governor,Asa Hutchinson,Republican,2410
Johnson,Governor,Rod Bryan,Independent,246
Johnson,Governor,Jim Lendall,Green,106
Johnson,Governor,Michael Jones,Write-In,0
Johnson,Governor,Gene Mason,Write-In,0
Johnson,Land Commissioner,Mark Wilcox,Democratic,4544
Johnson,Land Commissioner,Robert David Lewis,Green,1030
Johnson,Lieutenant Governor,Bill Halter,Democratic,3583
Johnson,Lieutenant Governor,Jim Holt,Republican,2376
Johnson,Secretary of State,Charlie Daniels,Democratic,3977
Johnson,Secretary of State,Jim Lagrone,Republican,1936
Johnson,Secretary of State,"Ralph ""Marty"" Scully",Green,177
Johnson,State Auditor,Auditor of State Jim Wood,Democratic,4810
Johnson,State Auditor,Michael Joseph Bolzenius,Green,757
Johnson,State Treasurer,Martha Shoffner,Democratic,3414
Johnson,State Treasurer,Chris Morris,Republican,2112
Johnson,State Treasurer,Brock Carpenter,Green,335
Lafayette,Attorney General,Dustin McDaniel,Democratic,1642
Lafayette,Attorney General,Gunner DeLay,Republican,735
Lafayette,Attorney General,Rebekah Kennedy,Green,90
Lafayette,Governor,Mike Beebe,Democratic,1684
Lafayette,Governor,Asa Hutchinson,Republican,741
Lafayette,Governor,Rod Bryan,Independent,69
Lafayette,Governor,Jim Lendall,Green,34
Lafayette,Governor,Michael Jones,Write-In,0
Lafayette,Governor,Gene Mason,Write-In,0
Lafayette,Land Commissioner,Mark Wilcox,Democratic,2125
Lafayette,Land Commissioner,Robert David Lewis,Green,259
Lafayette,Lieutenant Governor,Bill Halter,Democratic,1586
Lafayette,Lieutenant Governor,Jim Holt,Republican,895
Lafayette,Secretary of State,Charlie Daniels,Democratic,1780
Lafayette,Secretary of State,Jim Lagrone,Republican,675
Lafayette,Secretary of State,"Ralph ""Marty"" Scully",Green,44
Lafayette,State Auditor,Auditor of State Jim Wood,Democratic,2160
Lafayette,State Auditor,Michael Joseph Bolzenius,Green,213
Lafayette,State Treasurer,Martha Shoffner,Democratic,1657
Lafayette,State Treasurer,Chris Morris,Republican,732
Lafayette,State Treasurer,Brock Carpenter,Green,78
Lawrence,Attorney General,Dustin McDaniel,Democratic,3694
Lawrence,Attorney General,Gunner DeLay,Republican,924
Lawrence,Attorney General,Rebekah Kennedy,Green,199
Lawrence,Governor,Mike Beebe,Democratic,3227
Lawrence,Governor,Asa Hutchinson,Republican,1400
Lawrence,Governor,Rod Bryan,Independent,139
Lawrence,Governor,Jim Lendall,Green,70
Lawrence,Governor,Michael Jones,Write-In,0
Lawrence,Governor,Gene Mason,Write-In,0
Lawrence,Land Commissioner,Mark Wilcox,Democratic,3936
Lawrence,Land Commissioner,Robert David Lewis,Green,637
Lawrence,Lieutenant Governor,Bill Halter,Democratic,3176
Lawrence,Lieutenant Governor,Jim Holt,Republican,1582
Lawrence,Secretary of State,Charlie Daniels,Democratic,3606
Lawrence,Secretary of State,Jim Lagrone,Republican,1028
Lawrence,Secretary of State,"Ralph ""Marty"" Scully",Green,149
Lawrence,State Auditor,Auditor of State Jim Wood,Democratic,4067
Lawrence,State Auditor,Michael Joseph Bolzenius,Green,539
Lawrence,State Treasurer,Martha Shoffner,Democratic,3463
Lawrence,State Treasurer,Chris Morris,Republican,1146
Lawrence,State Treasurer,Brock Carpenter,Green,155
Lee,Attorney General,Dustin McDaniel,Democratic,1951
Lee,Attorney General,Gunner DeLay,Republican,562
Lee,Attorney General,Rebekah Kennedy,Green,345
Lee,Governor,Mike Beebe,Democratic,2233
Lee,Governor,Asa Hutchinson,Republican,621
Lee,Governor,Jim Lendall,Green,50
Lee,Governor,Rod Bryan,Independent,29
Lee,Governor,Michael Jones,Write-In,0
Lee,Governor,Gene Mason,Write-In,0
Lee,Land Commissioner,Mark Wilcox,Democratic,2536
Lee,Land Commissioner,Robert David Lewis,Green,252
Lee,Lieutenant Governor,Bill Halter,Democratic,2192
Lee,Lieutenant Governor,Jim Holt,Republican,700
Lee,Secretary of State,Charlie Daniels,Democratic,2325
Lee,Secretary of State,Jim Lagrone,Republican,489
Lee,Secretary of State,"Ralph ""Marty"" Scully",Green,66
Lee,State Auditor,Auditor of State Jim Wood,Democratic,2601
Lee,State Auditor,Michael Joseph Bolzenius,Green,193
Lee,State Treasurer,Martha Shoffner,Democratic,2278
Lee,State Treasurer,Chris Morris,Republican,519
Lee,State Treasurer,Brock Carpenter,Green,83
Lincoln,Attorney General,Dustin McDaniel,Democratic,2010
Lincoln,Attorney General,Gunner DeLay,Republican,653
Lincoln,Attorney General,Rebekah Kennedy,Green,94
Lincoln,Governor,Mike Beebe,Democratic,1960
Lincoln,Governor,Asa Hutchinson,Republican,757
Lincoln,Governor,Rod Bryan,Independent,52
Lincoln,Governor,Jim Lendall,Green,37
Lincoln,Governor,Michael Jones,Write-In,1
Lincoln,Governor,Gene Mason,Write-In,0
Lincoln,Land Commissioner,Mark Wilcox,Democratic,2439
Lincoln,Land Commissioner,Robert David Lewis,Green,259
Lincoln,Lieutenant Governor,Bill Halter,Democratic,2061
Lincoln,Lieutenant Governor,Jim Holt,Republican,741
Lincoln,Secretary of State,Charlie Daniels,Democratic,2207
Lincoln,Secretary of State,Jim Lagrone,Republican,533
Lincoln,Secretary of State,"Ralph ""Marty"" Scully",Green,38
Lincoln,State Auditor,Auditor of State Jim Wood,Democratic,2468
Lincoln,State Auditor,Michael Joseph Bolzenius,Green,222
Lincoln,State Treasurer,Martha Shoffner,Democratic,2106
Lincoln,State Treasurer,Chris Morris,Republican,605
Lincoln,State Treasurer,Brock Carpenter,Green,64
Little River,Attorney General,Dustin McDaniel,Democratic,2596
Little River,Attorney General,Gunner DeLay,Republican,945
Little River,Attorney General,Rebekah Kennedy,Green,173
Little River,Governor,Mike Beebe,Democratic,2552
Little River,Governor,Asa Hutchinson,Republican,1012
Little River,Governor,Rod Bryan,Independent,119
Little River,Governor,Jim Lendall,Green,94
Little River,Governor,Michael Jones,Write-In,0
Little River,Governor,Gene Mason,Write-In,0
Little River,Land Commissioner,Mark Wilcox,Democratic,3131
Little River,Land Commissioner,Robert David Lewis,Green,370
Little River,Lieutenant Governor,Bill Halter,Democratic,2526
Little River,Lieutenant Governor,Jim Holt,Republican,1176
Little River,Secretary of State,Charlie Daniels,Democratic,2758
Little River,Secretary of State,Jim Lagrone,Republican,886
Little River,Secretary of State,"Ralph ""Marty"" Scully",Green,81
Little River,State Auditor,Auditor of State Jim Wood,Democratic,3138
Little River,State Auditor,Michael Joseph Bolzenius,Green,373
Little River,State Treasurer,Martha Shoffner,Democratic,2570
Little River,State Treasurer,Chris Morris,Republican,967
Little River,State Treasurer,Brock Carpenter,Green,147
Logan,Attorney General,Dustin McDaniel,Democratic,3451
Logan,Attorney General,Gunner DeLay,Republican,2646
Logan,Attorney General,Rebekah Kennedy,Green,349
Logan,Governor,Mike Beebe,Democratic,3525
Logan,Governor,Asa Hutchinson,Republican,2794
Logan,Governor,Rod Bryan,Independent,131
Logan,Governor,Jim Lendall,Green,86
Logan,Governor,Michael Jones,Write-In,2
Logan,Governor,Gene Mason,Write-In,2
Logan,Land Commissioner,Mark Wilcox,Democratic,4990
Logan,Land Commissioner,Robert David Lewis,Green,1090
Logan,Lieutenant Governor,Bill Halter,Democratic,3846
Logan,Lieutenant Governor,Jim Holt,Republican,2627
Logan,Secretary of State,Charlie Daniels,Democratic,4334
Logan,Secretary of State,Jim Lagrone,Republican,1950
Logan,Secretary of State,"Ralph ""Marty"" Scully",Green,191
Logan,State Auditor,Auditor of State Jim Wood,Democratic,5160
Logan,State Auditor,Michael Joseph Bolzenius,Green,962
Logan,State Treasurer,Martha Shoffner,Democratic,3902
Logan,State Treasurer,Chris Morris,Republican,2236
Logan,State Treasurer,Brock Carpenter,Green,281
Lonoke,Attorney General,Dustin McDaniel,Democratic,7909
Lonoke,Attorney General,Gunner DeLay,Republican,7242
Lonoke,Attorney General,Rebekah Kennedy,Green,701
Lonoke,Governor,Asa Hutchinson,Republican,7792
Lonoke,Governor,Mike Beebe,Democratic,7768
Lonoke,Governor,Rod Bryan,Independent,282
Lonoke,Governor,Jim Lendall,Green,223
Lonoke,Governor,Michael Jones,Write-In,0
Lonoke,Governor,Gene Mason,Write-In,0
Lonoke,Land Commissioner,Mark Wilcox,Democratic,11954
Lonoke,Land Commissioner,Robert David Lewis,Green,2860
Lonoke,Lieutenant Governor,Bill Halter,Democratic,8101
Lonoke,Lieutenant Governor,Jim Holt,Republican,7828
Lonoke,Secretary of State,Charlie Daniels,Democratic,8835
Lonoke,Secretary of State,Jim Lagrone,Republican,6685
Lonoke,Secretary of State,"Ralph ""Marty"" Scully",Green,379
Lonoke,State Auditor,Auditor of State Jim Wood,Democratic,12588
Lonoke,State Auditor,Michael Joseph Bolzenius,Green,2387
Lonoke,State Treasurer,Martha Shoffner,Democratic,8588
Lonoke,State Treasurer,Chris Morris,Republican,6536
Lonoke,State Treasurer,Brock Carpenter,Green,593
Madison,Attorney General,Dustin McDaniel,Democratic,2792
Madison,Attorney General,Gunner DeLay,Republican,2296
Madison,Attorney General,Rebekah Kennedy,Green,251
Madison,Governor,Asa Hutchinson,Republican,2650
Madison,Governor,Mike Beebe,Democratic,2587
Madison,Governor,Rod Bryan,Independent,100
Madison,Governor,Jim Lendall,Green,66
Madison,Governor,Michael Jones,Write-In,0
Madison,Governor,Gene Mason,Write-In,0
Madison,Land Commissioner,Mark Wilcox,Democratic,3767
Madison,Land Commissioner,Robert David Lewis,Green,1013
Madison,Lieutenant Governor,Jim Holt,Republican,2741
Madison,Lieutenant Governor,Bill Halter,Democratic,2628
Madison,Secretary of State,Charlie Daniels,Democratic,3127
Madison,Secretary of State,Jim Lagrone,Republican,2023
Madison,Secretary of State,"Ralph ""Marty"" Scully",Green,168
Madison,State Auditor,Auditor of State Jim Wood,Democratic,3948
Madison,State Auditor,Michael Joseph Bolzenius,Green,845
Madison,State Treasurer,Martha Shoffner,Democratic,2775
Madison,State Treasurer,Chris Morris,Republican,2264
Madison,State Treasurer,Brock Carpenter,Green,214
Marion,Attorney General,Dustin McDaniel,Democratic,2745
Marion,Attorney General,Gunner DeLay,Republican,2662
Marion,Attorney General,Rebekah Kennedy,Green,424
Marion,Governor,Asa Hutchinson,Republican,2858
Marion,Governor,Mike Beebe,Democratic,2810
Marion,Governor,Rod Bryan,Independent,218
Marion,Governor,Jim Lendall,Green,163
Marion,Governor,Michael Jones,Write-In,0
Marion,Governor,Gene Mason,Write-In,0
Marion,Land Commissioner,Mark Wilcox,Democratic,4098
Marion,Land Commissioner,Robert David Lewis,Green,1243
Marion,Lieutenant Governor,Jim Holt,Republican,3143
Marion,Lieutenant Governor,Bill Halter,Democratic,2761
Marion,Secretary of State,Charlie Daniels,Democratic,3239
Marion,Secretary of State,Jim Lagrone,Republican,2352
Marion,Secretary of State,"Ralph ""Marty"" Scully",Green,267
Marion,State Auditor,Auditor of State Jim Wood,Democratic,4271
Marion,State Auditor,Michael Joseph Bolzenius,Green,1076
Marion,State Treasurer,Martha Shoffner,Democratic,2706
Marion,State Treasurer,Chris Morris,Republican,2630
Marion,State Treasurer,Brock Carpenter,Green,418
Miller,Attorney General,Dustin McDaniel,Democratic,5404
Miller,Attorney General,Gunner DeLay,Republican,3875
Miller,Attorney General,Rebekah Kennedy,Green,329
Miller,Governor,Mike Beebe,Democratic,5466
Miller,Governor,Asa Hutchinson,Republican,3933
Miller,Governor,Rod Bryan,Independent,259
Miller,Governor,Jim Lendall,Green,93
Miller,Governor,Michael Jones,Write-In,0
Miller,Governor,Gene Mason,Write-In,0
Miller,Land Commissioner,Mark Wilcox,Democratic,7288
Miller,Land Commissioner,Robert David Lewis,Green,1543
Miller,Lieutenant Governor,Bill Halter,Democratic,5240
Miller,Lieutenant Governor,Jim Holt,Republican,4354
Miller,Secretary of State,Charlie Daniels,Democratic,5582
Miller,Secretary of State,Jim Lagrone,Republican,3884
Miller,Secretary of State,"Ralph ""Marty"" Scully",Green,165
Miller,State Auditor,Auditor of State Jim Wood,Democratic,7396
Miller,State Auditor,Michael Joseph Bolzenius,Green,1417
Miller,State Treasurer,Martha Shoffner,Democratic,5207
Miller,State Treasurer,Chris Morris,Republican,3987
Miller,State Treasurer,Brock Carpenter,Green,352
Mississippi,Attorney General,Dustin McDaniel,Democratic,7170
Mississippi,Attorney General,Gunner DeLay,Republican,2294
Mississippi,Attorney General,Rebekah Kennedy,Green,487
Mississippi,Governor,Mike Beebe,Democratic,7119
Mississippi,Governor,Asa Hutchinson,Republican,2677
Mississippi,Governor,Jim Lendall,Green,221
Mississippi,Governor,Rod Bryan,Independent,154
Mississippi,Governor,Michael Jones,Write-In,3
Mississippi,Governor,Gene Mason,Write-In,2
Mississippi,Land Commissioner,Mark Wilcox,Democratic,8227
Mississippi,Land Commissioner,Robert David Lewis,Green,1181
Mississippi,Lieutenant Governor,Bill Halter,Democratic,6579
Mississippi,Lieutenant Governor,Jim Holt,Republican,3304
Mississippi,Secretary of State,Charlie Daniels,Democratic,7355
Mississippi,Secretary of State,Jim Lagrone,Republican,2310
Mississippi,Secretary of State,"Ralph ""Marty"" Scully",Green,348
Mississippi,State Auditor,Auditor of State Jim Wood,Democratic,8542
Mississippi,State Auditor,Michael Joseph Bolzenius,Green,979
Mississippi,State Treasurer,Martha Shoffner,Democratic,6925
Mississippi,State Treasurer,Chris Morris,Republican,2555
Mississippi,State Treasurer,Brock Carpenter,Green,400
Monroe,Attorney General,Dustin McDaniel,Democratic,2078
Monroe,Attorney General,Gunner DeLay,Republican,583
Monroe,Attorney General,Rebekah Kennedy,Green,72
Monroe,Governor,Mike Beebe,Democratic,1914
Monroe,Governor,Asa Hutchinson,Republican,776
Monroe,Governor,Rod Bryan,Independent,36
Monroe,Governor,Jim Lendall,Green,31
Monroe,Governor,Michael Jones,Write-In,0
Monroe,Governor,Gene Mason,Write-In,0
Monroe,Land Commissioner,Mark Wilcox,Democratic,2413
Monroe,Land Commissioner,Robert David Lewis,Green,226
Monroe,Lieutenant Governor,Bill Halter,Democratic,2003
Monroe,Lieutenant Governor,Jim Holt,Republican,740
Monroe,Secretary of State,Charlie Daniels,Democratic,2177
Monroe,Secretary of State,Jim Lagrone,Republican,518
Monroe,Secretary of State,"Ralph ""Marty"" Scully",Green,41
Monroe,State Auditor,Auditor of State Jim Wood,Democratic,2479
Monroe,State Auditor,Michael Joseph Bolzenius,Green,167
Monroe,State Treasurer,Martha Shoffner,Democratic,2071
Monroe,State Treasurer,Chris Morris,Republican,611
Monroe,State Treasurer,Brock Carpenter,Green,42
Montgomery,Attorney General,Dustin McDaniel,Democratic,1599
Montgomery,Attorney General,Gunner DeLay,Republican,1074
Montgomery,Attorney General,Rebekah Kennedy,Green,153
Montgomery,Governor,Mike Beebe,Democratic,1526
Montgomery,Governor,Asa Hutchinson,Republican,1207
Montgomery,Governor,Jim Lendall,Green,81
Montgomery,Governor,Rod Bryan,Independent,74
Montgomery,Governor,Michael Jones,Write-In,0
Montgomery,Governor,Gene Mason,Write-In,0
Montgomery,Land Commissioner,Mark Wilcox,Democratic,2136
Montgomery,Land Commissioner,Robert David Lewis,Green,451
Montgomery,Lieutenant Governor,Bill Halter,Democratic,1683
Montgomery,Lieutenant Governor,Jim Holt,Republican,1172
Montgomery,Secretary of State,Charlie Daniels,Democratic,1834
Montgomery,Secretary of State,Jim Lagrone,Republican,925
Montgomery,Secretary of State,"Ralph ""Marty"" Scully",Green,93
Montgomery,State Auditor,Auditor of State Jim Wood,Democratic,2226
Montgomery,State Auditor,Michael Joseph Bolzenius,Green,389
Montgomery,State Treasurer,Martha Shoffner,Democratic,1691
Montgomery,State Treasurer,Chris Morris,Republican,995
Montgomery,State Treasurer,Brock Carpenter,Green,132
Nevada,Attorney General,Dustin McDaniel,Democratic,1803
Nevada,Attorney General,Gunner DeLay,Republican,660
Nevada,Attorney General,Rebekah Kennedy,Green,124
Nevada,Governor,Mike Beebe,Democratic,1694
Nevada,Governor,Asa Hutchinson,Republican,811
Nevada,Governor,Rod Bryan,Independent,67
Nevada,Governor,Jim Lendall,Green,49
Nevada,Governor,Michael Jones,Write-In,0
Nevada,Governor,Gene Mason,Write-In,0
Nevada,Land Commissioner,Mark Wilcox,Democratic,2242
Nevada,Land Commissioner,Robert David Lewis,Green,256
Nevada,Lieutenant Governor,Bill Halter,Democratic,1721
Nevada,Lieutenant Governor,Jim Holt,Republican,871
Nevada,Secretary of State,Charlie Daniels,Democratic,1964
Nevada,Secretary of State,Jim Lagrone,Republican,582
Nevada,Secretary of State,"Ralph ""Marty"" Scully",Green,51
Nevada,State Auditor,Auditor of State Jim Wood,Democratic,2263
Nevada,State Auditor,Michael Joseph Bolzenius,Green,258
Nevada,State Treasurer,Martha Shoffner,Democratic,1758
Nevada,State Treasurer,Chris Morris,Republican,726
Nevada,State Treasurer,Brock Carpenter,Green,86
Newton,Attorney General,Gunner DeLay,Republican,1545
Newton,Attorney General,Dustin McDaniel,Democratic,1515
Newton,Attorney General,Rebekah Kennedy,Green,285
Newton,Governor,Asa Hutchinson,Republican,1804
Newton,Governor,Mike Beebe,Democratic,1519
Newton,Governor,Jim Lendall,Green,97
Newton,Governor,Rod Bryan,Independent,88
Newton,Governor,Michael Jones,Write-In,0
Newton,Governor,Gene Mason,Write-In,0
Newton,Land Commissioner,Mark Wilcox,Democratic,2117
Newton,Land Commissioner,Robert David Lewis,Green,859
Newton,Lieutenant Governor,Jim Holt,Republican,1823
Newton,Lieutenant Governor,Bill Halter,Democratic,1463
Newton,Secretary of State,Charlie Daniels,Democratic,1982
Newton,Secretary of State,Jim Lagrone,Republican,1301
Newton,Secretary of State,"Ralph ""Marty"" Scully",Green,156
Newton,State Auditor,Auditor of State Jim Wood,Democratic,2215
Newton,State Auditor,Michael Joseph Bolzenius,Green,778
Newton,State Treasurer,Chris Morris,Republican,1620
Newton,State Treasurer,Martha Shoffner,Democratic,1488
Newton,State Treasurer,Brock Carpenter,Green,233
Ouachita,Attorney General,Dustin McDaniel,Democratic,5087
Ouachita,Attorney General,Gunner DeLay,Republican,1971
Ouachita,Attorney General,Rebekah Kennedy,Green,257
Ouachita,Governor,Mike Beebe,Democratic,4665
Ouachita,Governor,Asa Hutchinson,Republican,2647
Ouachita,Governor,Rod Bryan,Independent,90
Ouachita,Governor,Jim Lendall,Green,86
Ouachita,Governor,Michael Jones,Write-In,0
Ouachita,Governor,Gene Mason,Write-In,0
Ouachita,Land Commissioner,Mark Wilcox,Democratic,6105
Ouachita,Land Commissioner,Robert David Lewis,Green,892
Ouachita,Lieutenant Governor,Bill Halter,Democratic,4778
Ouachita,Lieutenant Governor,Jim Holt,Republican,2629
Ouachita,Secretary of State,Charlie Daniels,Democratic,5448
Ouachita,Secretary of State,Jim Lagrone,Republican,1828
Ouachita,Secretary of State,"Ralph ""Marty"" Scully",Green,160
Ouachita,State Auditor,Auditor of State Jim Wood,Democratic,6380
Ouachita,State Auditor,Michael Joseph Bolzenius,Green,761
Ouachita,State Treasurer,Martha Shoffner,Democratic,5139
Ouachita,State Treasurer,Chris Morris,Republican,2069
Ouachita,State Treasurer,Brock Carpenter,Green,155
Perry,Attorney General,Dustin McDaniel,Democratic,2115
Perry,Attorney General,Gunner DeLay,Republican,1190
Perry,Attorney General,Rebekah Kennedy,Green,221
Perry,Governor,Mike Beebe,Democratic,1918
Perry,Governor,Asa Hutchinson,Republican,1456
Perry,Governor,Rod Bryan,Independent,145
Perry,Governor,Jim Lendall,Green,125
Perry,Governor,Michael Jones,Write-In,0
Perry,Governor,Gene Mason,Write-In,0
Perry,Land Commissioner,Mark Wilcox,Democratic,2772
Perry,Land Commissioner,Robert David Lewis,Green,542
Perry,Lieutenant Governor,Bill Halter,Democratic,2176
Perry,Lieutenant Governor,Jim Holt,Republican,1433
Perry,Secretary of State,Charlie Daniels,Democratic,2416
Perry,Secretary of State,Jim Lagrone,Republican,1017
Perry,Secretary of State,"Ralph ""Marty"" Scully",Green,144
Perry,State Auditor,Auditor of State Jim Wood,Democratic,2911
Perry,State Auditor,Michael Joseph Bolzenius,Green,442
Perry,State Treasurer,Martha Shoffner,Democratic,2345
Perry,State Treasurer,Chris Morris,Republican,988
Perry,State Treasurer,Brock Carpenter,Green,181
Phillips,Attorney General,Dustin McDaniel,Democratic,5246
Phillips,Attorney General,Gunner DeLay,Republican,1205
Phillips,Attorney General,Rebekah Kennedy,Green,313
Phillips,Governor,Mike Beebe,Democratic,4934
Phillips,Governor,Asa Hutchinson,Republican,1563
Phillips,Governor,Rod Bryan,Independent,160
Phillips,Governor,Michael Jones,Write-In,123
Phillips,Governor,Gene Mason,Write-In,70
Phillips,Governor,Jim Lendall,Green,66
Phillips,Land Commissioner,Mark Wilcox,Democratic,5950
Phillips,Land Commissioner,Robert David Lewis,Green,605
Phillips,Lieutenant Governor,Bill Halter,Democratic,4797
Phillips,Lieutenant Governor,Jim Holt,Republican,1950
Phillips,Secretary of State,Charlie Daniels,Democratic,5450
Phillips,Secretary of State,Jim Lagrone,Republican,1076
Phillips,Secretary of State,"Ralph ""Marty"" Scully",Green,257
Phillips,State Auditor,Auditor of State Jim Wood,Democratic,6193
Phillips,State Auditor,Michael Joseph Bolzenius,Green,443
Phillips,State Treasurer,Martha Shoffner,Democratic,5455
Phillips,State Treasurer,Chris Morris,Republican,1076
Phillips,State Treasurer,Brock Carpenter,Green,209
Pike,Attorney General,Dustin McDaniel,Democratic,2024
Pike,Attorney General,Gunner DeLay,Republican,984
Pike,Attorney General,Rebekah Kennedy,Green,116
Pike,Governor,Mike Beebe,Democratic,1770
Pike,Governor,Asa Hutchinson,Republican,1317
Pike,Governor,Rod Bryan,Independent,49
Pike,Governor,Jim Lendall,Green,47
Pike,Governor,Michael Jones,Write-In,0
Pike,Governor,Gene Mason,Write-In,0
Pike,Land Commissioner,Mark Wilcox,Democratic,2517
Pike,Land Commissioner,Robert David Lewis,Green,422
Pike,Lieutenant Governor,Bill Halter,Democratic,1874
Pike,Lieutenant Governor,Jim Holt,Republican,1285
Pike,Secretary of State,Charlie Daniels,Democratic,2189
Pike,Secretary of State,Jim Lagrone,Republican,892
Pike,Secretary of State,"Ralph ""Marty"" Scully",Green,59
Pike,State Auditor,Auditor of State Jim Wood,Democratic,2668
Pike,State Auditor,Michael Joseph Bolzenius,Green,298
Pike,State Treasurer,Martha Shoffner,Democratic,2011
Pike,State Treasurer,Chris Morris,Republican,978
Pike,State Treasurer,Brock Carpenter,Green,102
Poinsett,Attorney General,Dustin McDaniel,Democratic,4664
Poinsett,Attorney General,Gunner DeLay,Republican,1348
Poinsett,Attorney General,Rebekah Kennedy,Green,203
Poinsett,Governor,Mike Beebe,Democratic,4346
Poinsett,Governor,Asa Hutchinson,Republican,1793
Poinsett,Governor,Rod Bryan,Independent,71
Poinsett,Governor,Jim Lendall,Green,48
Poinsett,Governor,Michael Jones,Write-In,0
Poinsett,Governor,Gene Mason,Write-In,0
Poinsett,Land Commissioner,Mark Wilcox,Democratic,5154
Poinsett,Land Commissioner,Robert David Lewis,Green,790
Poinsett,Lieutenant Governor,Bill Halter,Democratic,4046
Poinsett,Lieutenant Governor,Jim Holt,Republican,2143
Poinsett,Secretary of State,Charlie Daniels,Democratic,4488
Poinsett,Secretary of State,Jim Lagrone,Republican,1595
Poinsett,Secretary of State,"Ralph ""Marty"" Scully",Green,125
Poinsett,State Auditor,Auditor of State Jim Wood,Democratic,5273
Poinsett,State Auditor,Michael Joseph Bolzenius,Green,675
Poinsett,State Treasurer,Martha Shoffner,Democratic,4551
Poinsett,State Treasurer,Chris Morris,Republican,1451
Poinsett,State Treasurer,Brock Carpenter,Green,166
Polk,Attorney General,Dustin McDaniel,Democratic,2688
Polk,Attorney General,Gunner DeLay,Republican,2549
Polk,Attorney General,Rebekah Kennedy,Green,289
Polk,Governor,Asa Hutchinson,Republican,2831
Polk,Governor,Mike Beebe,Democratic,2465
Polk,Governor,Rod Bryan,Independent,164
Polk,Governor,Jim Lendall,Green,139
Polk,Governor,Michael Jones,Write-In,0
Polk,Governor,Gene Mason,Write-In,0
Polk,Land Commissioner,Mark Wilcox,Democratic,3813
Polk,Land Commissioner,Robert David Lewis,Green,1192
Polk,Lieutenant Governor,Bill Halter,Democratic,2755
Polk,Lieutenant Governor,Jim Holt,Republican,2735
Polk,Secretary of State,Charlie Daniels,Democratic,3078
Polk,Secretary of State,Jim Lagrone,Republican,2173
Polk,Secretary of State,"Ralph ""Marty"" Scully",Green,278
Polk,State Auditor,Auditor of State Jim Wood,Democratic,4088
Polk,State Auditor,Michael Joseph Bolzenius,Green,927
Polk,State Treasurer,Martha Shoffner,Democratic,2884
Polk,State Treasurer,Chris Morris,Republican,2264
Polk,State Treasurer,Brock Carpenter,Green,300
Pope,Attorney General,Dustin McDaniel,Democratic,8272
Pope,Attorney General,Gunner DeLay,Republican,6632
Pope,Attorney General,Rebekah Kennedy,Green,420
Pope,Governor,Asa Hutchinson,Republican,7778
Pope,Governor,Mike Beebe,Democratic,6847
