county,office,candidate,party,votes
Faulkner,Secretary of State,"Ralph ""Marty"" Scully",Green,840
Faulkner,State Auditor,Auditor of State Jim Wood,Democratic,18259
Faulkner,State Auditor,Michael Joseph Bolzenius,Green,3441
Faulkner,State Treasurer,Martha Shoffner,Democratic,13271
Faulkner,State Treasurer,Chris Morris,Republican,9831
Faulkner,State Treasurer,Brock Carpenter,Green,1041
Franklin,Attorney General,Dustin McDaniel,Democratic,2902
Franklin,Attorney General,Gunner DeLay,Republican,2346
Franklin,Attorney General,Rebekah Kennedy,Green,229
Franklin,Governor,Mike Beebe,Democratic,2908
Franklin,Governor,Asa Hutchinson,Republican,2452
Franklin,Governor,Rod Bryan,Independent,99
Franklin,Governor,Jim Lendall,Green,66
Franklin,Governor,Gene Mason,Write-In,1
Franklin,Governor,Michael Jones,Write-In,0
Franklin,Land Commissioner,Mark Wilcox,Democratic,4652
Franklin,Land Commissioner,Robert David Lewis,Green,839
Franklin,Lieutenant Governor,Bill Halter,Democratic,2984
Franklin,Lieutenant Governor,Jim Holt,Republican,2523
Franklin,Secretary of State,Charlie Daniels,Democratic,3581
Franklin,Secretary of State,Jim Lagrone,Republican,1761
Franklin,Secretary of State,"Ralph ""Marty"" Scully",Green,149
Franklin,State Auditor,Auditor of State Jim Wood,Democratic,4443
Franklin,State Auditor,Michael Joseph Bolzenius,Green,701
Franklin,State Treasurer,Martha Shoffner,Democratic,3085
Franklin,State Treasurer,Chris Morris,Republican,2078
Franklin,State Treasurer,Brock Carpenter,Green,284
Fulton,Attorney General,Dustin McDaniel,Democratic,2161
Fulton,Attorney General,Gunner DeLay,Republican,984
Fulton,Attorney General,Rebekah Kennedy,Green,141
Fulton,Governor,Mike Beebe,Democratic,2002
Fulton,Governor,Asa Hutchinson,Republican,1199
Fulton,Governor,Rod Bryan,Independent,105
Fulton,Governor,Jim Lendall,Green,59
Fulton,Governor,Michael Jones,Write-In,0
Fulton,Governor,Gene Mason,Write-In,0
