"Contest ID","Contest Name","Location ID","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"223","POSITION 1, CITY OF SUNSET City of Sunset","10","1","1","0","62","463","Floyd Williams","39","62.90"
"223","POSITION 1, CITY OF SUNSET City of Sunset","10","1","1","0","62","464","Rickey T. Phelix","23","37.10"
"228","City of Wynne, Alderman Ward 3 Pos. 2","16","1","1","0","402","473","Lisa Powell Carter","245","60.95"
"228","City of Wynne, Alderman Ward 3 Pos. 2","16","1","1","0","402","474","Tresha Cotton Light","157","39.05"
"235","Pleasant Plains Position 5 City of Pleasant Plain","62","1","1","0","137","487","Bani' Meharg","96","70.07"
"235","Pleasant Plains Position 5 City of Pleasant Plain","62","1","1","0","137","488","Thomas Henderson","41","29.93"
"239","ALDERMAN OF MELBOURNE WARD 3 POSITION 1 City of M","48","1","1","0","91","517","IND Michael McSpadden","46","50.55"
"239","ALDERMAN OF MELBOURNE WARD 3 POSITION 1 City of M","48","1","1","0","91","516","IND Jerry Crosby","45","49.45"
"248","CITY OF FAYETTEVILLE SPECIAL","46","67","67","0","36924","535","FOR","30278","82.00"
"248","CITY OF FAYETTEVILLE SPECIAL","46","67","67","0","36924","534","AGAINST","6646","18.00"
"251","ALDERMAN OF HORSESHOE BEND WARD 3 POSITION 1 City","48","2","2","0","228","539","IND Travis Rains","144","63.16"
"251","ALDERMAN OF HORSESHOE BEND WARD 3 POSITION 1 City","48","2","2","0","228","540","IND Uriah Mead","84","36.84"
"254","ALDERMAN OF HORSESHOE BEND WARD 4 POSITION 1 City","48","2","2","0","395","548","IND Donald 'Donny' Dawson","252","63.80"
"254","ALDERMAN OF HORSESHOE BEND WARD 4 POSITION 1 City","48","2","2","0","395","547","IND Carol A. Spencer","143","36.20"
"256","City of Powhatan, ORDINANCE NO. 2024-002","5","1","1","0","51","552","FOR","31","60.78"
"256","City of Powhatan, ORDINANCE NO. 2024-002","5","1","1","0","51","551","AGAINST","20","39.22"
"258","East Camden Alderman Ward 1 Position 2","3","1","1","0","233","557","IND Teresa Lampkin","141","60.52"
"258","East Camden Alderman Ward 1 Position 2","3","1","1","0","233","556","IND Linda Starr","92","39.48"
"259","City of Hughes, Alderman Ward 2 Pos. 2","52","1","1","0","275","558","Jesse White","193","70.18"
"259","City of Hughes, Alderman Ward 2 Pos. 2","52","1","1","0","275","559","Leon Horton","82","29.82"
"263","POSITION 5, CITY OF SUNSET City of Sunset","10","1","1","0","63","567","Barbara Moss","36","57.14"
"263","POSITION 5, CITY OF SUNSET City of Sunset","10","1","1","0","63","566","Barbara Matthews","27","42.86"
"268","CITY CLERK/ TREASURER FAYETTEVILLE","46","67","67","0","31459","582","City Clerk Treasurer Kara Paxton","23484","74.65"
"268","CITY CLERK/ TREASURER FAYETTEVILLE","46","67","67","0","31459","583","Lorinda Smith","7975","25.35"
"273","City of Clarksville Ward 1 Position 1 City of Cla","72","6","6","0","2211","590","Robert Thompson","1118","50.57"
"273","City of Clarksville Ward 1 Position 1 City of Cla","72","6","6","0","2211","591","Susan Edens","1093","49.43"
